"school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3","M1","M2","M3","M4","M5","M1_ratio","M2_ratio","M3_ratio","M4_ratio","M5_ratio"
"GP","M",18,"U","GT3","T",4,2,"health","other","reputation","father",1,2,0,"no","yes","yes","yes","yes","yes","yes","yes",5,4,5,1,3,5,10,10,9,10,-9664.64229999998,-9676.96239999997,-9808.79039999999,-9809.89210000001,-9860.08550000001,0.246825744310467,0.247218173527409,0.251432775132528,0.251468117006485,0.253080411070482
"GP","M",16,"U","GT3","T",4,3,"teacher","other","home","mother",1,2,0,"no","yes","yes","yes","yes","yes","yes","no",3,4,3,2,3,3,10,9,8,8,-10853.9516,-10893.8938,-11180.4647,-11183.9947,-11283.1366,0.243681826735845,0.244798088774782,0.252866009086916,0.252966042389199,0.255782069224367
"GP","F",15,"U","GT3","T",4,4,"services","services","course","mother",1,1,0,"yes","yes","yes","no","yes","yes","yes","no",3,3,4,2,3,5,0,8,10,11,-9390.16140000001,-9384.2477,-9441.97429999999,-9447.74210000004,-9423.04649999999,0.249095651101841,0.248899730570766,0.250814841649775,0.251006514314927,0.250186254822244
"GP","F",17,"U","GT3","T",1,1,"services","teacher","reputation","mother",1,3,0,"no","yes","yes","no","yes","yes","yes","no",4,3,3,1,1,3,6,13,12,12,-9417.93320000002,-9405.87939999999,-9517.8536,-9508.86600000001,-9498.98170000001,0.248287390775677,0.247890839239451,0.251584348255527,0.251287082217216,0.250960320711158
"GP","F",16,"U","GT3","T",4,3,"teacher","other","other","mother",1,2,0,"no","no","yes","yes","yes","yes","yes","yes",1,3,2,1,1,1,10,11,12,13,-9623.68520000002,-9601.59680000002,-9507.93509999998,-9505.93529999999,-9482.13630000004,0.252606051716613,0.251880230962727,0.248811847280527,0.248746497265154,0.247969311683803
"GP","M",16,"U","GT3","T",2,1,"other","other","course","mother",3,1,0,"no","no","no","no","yes","yes","yes","no",4,3,3,1,1,4,6,18,18,18,-14392.0457000001,-14345.1931,-15267.8711,-15132.8822,-15124.5359,0.240386333082873,0.239416408021845,0.258800913545104,0.255927157946885,0.255749905651599
"GP","F",16,"U","GT3","T",4,2,"services","other","course","mother",1,2,0,"no","yes","no","no","yes","yes","yes","no",4,2,3,1,1,5,2,15,16,16,-11940.9955,-11911.8156,-11315.0773,-11310.6124,-11428.1065,0.259781063112054,0.258981835980356,0.242856959194085,0.242737866725966,0.245879413132878
"GP","F",17,"U","GT3","T",2,2,"other","other","course","mother",1,2,0,"no","yes","no","no","no","yes","yes","no",5,4,5,1,2,5,4,10,9,11,-9396.63100000001,-9392.4881,-9372.7191,-9375.52729999998,-9374.4263,0.250475562402495,0.250337484274795,0.249679025768796,0.249772517987238,0.249735861191431
"GP","M",16,"U","GT3","T",3,3,"services","other","home","father",1,3,0,"no","yes","no","yes","yes","yes","yes","no",5,3,3,1,1,5,2,16,18,18,-14587.1691,-14554.9249,-13930.0098,-13935.831,-14078.3909,0.258183838092904,0.25746619921012,0.243717769080355,0.243844450921262,0.246954936174955
"GP","M",15,"U","GT3","T",3,4,"services","services","home","father",1,1,0,"yes","no","no","no","yes","yes","yes","no",5,5,5,3,2,5,0,13,13,12,-9449.67070000001,-9438.27110000002,-9434.31670000003,-9425.2153,-9459.26189999996,0.250275562997283,0.249898194166993,0.249767342144543,0.249466278757802,0.250593243672904
"GP","F",16,"R","GT3","T",3,3,"services","other","reputation","father",1,3,1,"yes","yes","no","yes","yes","yes","yes","no",4,1,2,1,1,2,0,7,10,10,-9473.97220000002,-9438.2667,-9385.08720000001,-9383.0127,-9391.4459,0.251982005602055,0.25079416439356,0.249029175347615,0.248960425136696,0.249239953755405
"GP","M",15,"U","GT3","T",4,2,"other","other","course","mother",1,4,0,"no","no","no","no","yes","yes","yes","no",3,3,3,1,1,3,0,10,10,10,-9563.04750000002,-9563.55699999999,-10079.4468,-10041.4785,-9964.46720000002,0.24119296023215,0.241208910110965,0.257571938155975,0.256352963517703,0.253887754230077
"GP","F",19,"U","LE3","T",1,1,"at_home","other","reputation","other",1,2,1,"yes","yes","no","yes","no","yes","yes","no",4,4,3,1,3,3,18,12,10,10,-9407.06880000001,-9393.0192,-9535.9355,-9495.57940000001,-9445.89600000001,0.248401424941831,0.247938450636818,0.252664029810699,0.251326018520579,0.249682679979706
"GP","F",18,"U","GT3","A",4,4,"at_home","teacher","course","mother",2,2,0,"yes","no","no","no","yes","yes","no","no",4,3,4,1,1,3,6,5,6,6,-12810.2662000001,-12866.7278,-12870.3018,-12829.7462000001,-12886.5239,0.248968798399533,0.250340843437993,0.250427794875165,0.249441831752582,0.250822612559126
"GP","M",15,"U","GT3","T",4,3,"teacher","services","course","father",2,4,0,"yes","yes","no","no","yes","yes","yes","no",2,2,2,1,1,3,0,7,9,0,-24073.9933,-24190.2772,-27382.0799,-27209.4624,-26766.3406,0.228085390377165,0.22943988167404,0.267821402730115,0.265684478498861,0.260231676473612
"GP","F",17,"U","GT3","T",3,4,"at_home","services","home","mother",1,3,1,"no","yes","yes","no","yes","yes","yes","yes",4,4,3,3,4,5,28,10,9,9,-9547.70730000001,-9605.7136,-9472.98660000001,-9494.59260000004,-9724.67329999998,0.24930063583716,0.251195703401341,0.246867951920427,0.247570404847627,0.255100161970829
"MS","F",18,"U","GT3","T",3,3,"services","services","other","mother",2,2,0,"no","yes","no","no","yes","yes","yes","yes",4,3,2,1,3,3,0,11,11,10,-9563.04750000002,-9563.55699999999,-9641.90030000003,-9651.89420000002,-9597.68249999999,0.248681290985207,0.248697835283335,0.251246997447469,0.251572931251368,0.249806945003356
"GP","M",15,"U","LE3","T",4,4,"teacher","other","home","other",1,1,0,"no","yes","no","no","no","yes","yes","yes",5,4,3,2,4,5,8,12,12,12,-9410.61840000002,-9398.7174,-9395.4506,-9392.7093,-9390.6991,0.250431754827063,0.250035862429947,0.249927234628431,0.249836095347139,0.249769271201752
"GP","M",18,"U","LE3","T",4,4,"teacher","teacher","home","mother",1,1,0,"no","yes","yes","no","yes","yes","yes","yes",1,4,2,2,2,1,5,16,15,16,-11837.9376,-11801.324,-11551.6057,-11515.5122,-11562.7249,0.254956711533685,0.253967886961952,0.247265072434197,0.246302191085971,0.247562003815775
"GP","F",19,"R","GT3","A",3,1,"services","at_home","home","other",1,3,1,"no","no","yes","no","yes","yes","no","no",5,4,3,1,2,5,12,14,13,13,-10798.3291,-10649.2396,-10953.8832,-10894.0987,-10726.2745,0.249825444475847,0.245529277935252,0.254339601958086,0.2526008118063,0.247745423059709
"GP","M",18,"U","GT3","T",3,2,"services","other","course","mother",2,1,1,"no","no","no","no","yes","no","yes","no",4,4,5,2,4,5,0,6,8,8,-9537.94300000001,-9510.99130000002,-9614.1886,-9502.02430000002,-9496.93210000001,0.250181221810394,0.249298035746713,0.252686507007864,0.249004470774479,0.248837821854385
"GP","F",17,"U","GT3","T",3,4,"services","other","course","mother",1,3,0,"no","no","no","no","yes","yes","yes","no",4,4,5,1,3,5,16,16,15,15,-10619.46,-10570.4836,-10601.9586,-10603.8665,-10397.8462,0.251800184856816,0.250348168753651,0.251280929210641,0.251337514494399,0.24525669704392
"GP","F",15,"R","GT3","T",2,4,"services","health","course","mother",1,3,0,"yes","yes","yes","yes","yes","yes","yes","no",4,3,2,1,1,5,2,10,9,8,-10652.3439,-10672.8992,-10709.2721,-10724.6911,-10658.2241,0.249089731175921,0.249690402499958,0.250754715873571,0.251206441091496,0.24926150465052
"GP","F",16,"U","GT3","T",2,3,"services","services","course","mother",1,2,0,"no","no","no","no","yes","yes","yes","no",4,3,3,1,1,2,10,11,12,13,-9623.68520000002,-9601.59680000002,-9775.53599999999,-9754.3638,-9703.85479999999,0.2478073418437,0.247098029345722,0.252705568223574,0.252020314198342,0.250388576425152
"GP","M",15,"U","GT3","T",4,4,"services","services","reputation","mother",2,2,0,"no","yes","no","yes","yes","yes","yes","no",4,3,1,1,1,5,0,17,16,17,-13233.2555,-13208.4652,-12385.9038,-12380.7592,-12597.0467,0.261670682073039,0.261052518620228,0.240879382191745,0.240755242787046,0.245995787990473
"GP","F",16,"U","GT3","T",2,1,"other","other","home","mother",1,1,0,"no","no","no","no","yes","yes","yes","yes",4,5,2,1,1,5,20,13,12,12,-9401.03839999998,-9393.98390000001,-9520.80139999998,-9501.37159999999,-9445.9562,0.248296717490921,0.248064177148695,0.252257778722687,0.251613446854501,0.249779395988153
"GP","M",15,"U","GT3","T",4,3,"teacher","other","course","mother",2,2,0,"no","yes","yes","no","yes","yes","yes","no",5,4,3,1,2,3,2,10,10,11,-9392.57889999999,-9387.459,-9474.28080000001,-9474.278,-9451.03499999999,0.248566061759651,0.248396912093916,0.251271519130724,0.251271426211286,0.25050057056588
"GP","M",15,"U","LE3","A",4,4,"teacher","teacher","course","mother",1,1,0,"no","no","no","yes","yes","yes","yes","no",5,5,3,1,1,4,6,18,19,19,-16034.4712,-15985.0975,-15628.0508,-15567.6958,-15598.489,0.255410027603495,0.254423468413645,0.247335038902401,0.246144722089897,0.246751739289356
"GP","F",17,"U","GT3","T",4,3,"health","other","reputation","mother",1,3,0,"no","yes","yes","yes","yes","yes","yes","yes",4,4,3,1,3,4,0,13,15,15,-11022.6173,-11000.3713,-10328.5513,-10344.7975,-10462.4402,0.261595200453043,0.260929486321688,0.241150985933502,0.241621953292774,0.245043037344931
"GP","M",19,"U","GT3","T",1,2,"other","services","course","other",1,2,1,"no","no","no","no","no","yes","yes","no",4,5,2,2,2,4,3,13,11,11,-9748.29819999999,-9677.55910000001,-9920.6101,-9838.17029999999,-9874.1471,0.247982130040588,0.245740423970603,0.253476565426032,0.250841819421263,0.251990261479437
"GP","F",19,"U","GT3","T",2,1,"at_home","other","other","other",3,2,0,"no","yes","no","no","yes","no","yes","yes",3,4,1,1,1,2,20,14,12,13,-9546.62509999998,-10372.4589,-9775.53599999999,-10658.9772,-10428.1098,0.231517064114283,0.256685273488174,0.238391826439977,0.265659322113223,0.25841834492019
"GP","M",17,"R","LE3","A",4,4,"teacher","other","course","mother",2,2,0,"no","yes","yes","no","yes","yes","yes","no",3,3,3,2,3,4,2,10,11,12,-9437.46160000002,-9425.6522,-9373.9982,-9372.9597,-9378.01879999998,0.251326325988645,0.250932916673836,0.249215058155212,0.249180569112895,0.249348602012901
"GP","M",18,"U","GT3","T",2,2,"other","other","home","mother",2,2,0,"no","yes","yes","no","yes","yes","yes","no",3,3,3,5,5,4,0,12,13,13,-9741.5904,-9725.63660000002,-9775.53599999999,-9754.3638,-9824.4512,0.249273119011942,0.24876333071238,0.250359204141613,0.249681580827947,0.251927565084103
"GP","M",18,"U","GT3","T",2,1,"services","services","reputation","mother",1,3,0,"no","no","yes","yes","yes","yes","yes","no",4,2,4,1,3,2,6,15,14,14,-10146.3624,-10118.9628,-10189.7928,-10177.7242,-10160.2932,0.249622827376726,0.248781036052347,0.250959456722167,0.250587742418327,0.250051255336502
"GP","M",18,"U","GT3","T",2,2,"services","other","home","mother",1,2,1,"no","yes","yes","yes","yes","yes","yes","no",4,4,4,2,4,5,15,6,7,8,-9692.49970000001,-9766.15930000002,-9554.93100000005,-9606.17289999999,-9705.04080000002,0.250891059979234,0.253280670313192,0.246452472875931,0.248102081646957,0.251297265214438
"GP","M",15,"U","LE3","T",2,2,"services","health","reputation","mother",1,4,0,"no","yes","no","yes","yes","yes","yes","no",4,3,4,1,1,4,6,11,13,14,-10146.3624,-10118.9628,-10084.1466,-10088.8734,-10066.4497,0.251406255681511,0.250557244306475,0.249480080704199,0.249626212283691,0.248933274846271
"GP","M",16,"U","LE3","T",4,3,"services","other","reputation","mother",1,2,0,"no","yes","yes","yes","yes","yes","yes","no",5,4,2,1,2,5,10,15,15,15,-10758.3942,-10718.0419,-10478.4763,-10474.7588,-10401.2397,0.255710735744981,0.254507521204504,0.247411427441293,0.247301945069746,0.245140709457113
"GP","M",16,"U","GT3","T",3,3,"at_home","other","reputation","other",3,2,0,"yes","yes","no","no","no","yes","yes","no",5,3,3,1,3,2,6,7,10,10,-9619.10439999998,-9626.1373,-9641.90030000003,-9651.89420000002,-9653.8237,0.249369144261828,0.249596975087533,0.25010791949262,0.250432079858342,0.250494684140544
"GP","F",19,"U","GT3","T",3,3,"other","services","home","other",1,2,2,"no","yes","yes","yes","yes","yes","yes","no",4,3,5,3,3,5,15,9,9,9,-9677.2036,-9572.94349999998,-9579.5359,-9522.50059999997,-9481.5772,0.253618363660965,0.250202274168356,0.250417723141478,0.248556182967846,0.247223920778269
"GP","M",15,"U","LE3","T",3,3,"other","other","course","mother",1,2,0,"no","no","no","yes","no","yes","yes","no",5,3,2,1,1,2,0,8,10,12,-9449.67070000001,-9438.27110000002,-9391.69319999998,-9388.55370000001,-9411.7849,0.251118645659374,0.25073975067945,0.249193996126179,0.249089944738325,0.249860299229094
"GP","M",16,"U","LE3","T",2,1,"other","other","course","mother",1,2,0,"no","no","yes","yes","yes","yes","yes","yes",4,2,3,1,2,5,0,15,15,15,-11022.6173,-11000.3713,-11115.2494,-11070.3783,-11211.7166,0.248269919995614,0.247644772840146,0.250879775455112,0.249614196899313,0.25360930828319
"GP","M",16,"R","GT3","T",2,1,"other","other","course","mother",2,1,0,"no","no","no","yes","no","yes","no","no",3,3,2,1,3,3,0,8,9,8,-10606.026,-10622.1993,-10091.4845,-10120.1877,-10056.9274,0.259374389479096,0.259872699604617,0.243724225003594,0.244587003315001,0.24268707228342
"GP","F",18,"R","GT3","T",4,4,"teacher","other","reputation","mother",2,2,0,"no","no","yes","yes","yes","yes","yes","no",4,3,4,2,2,4,8,12,10,11,-9409.6374,-9408.00790000001,-9474.28080000001,-9474.278,-9485.49430000003,0.248655521167306,0.248601755687649,0.250792176964473,0.250792084257823,0.251163560809121
"MS","F",18,"R","GT3","T",4,4,"teacher","at_home","reputation","mother",3,1,0,"no","yes","yes","yes","yes","yes","yes","yes",4,4,3,2,2,5,7,6,5,6,-12850.2997,-12910.4073,-13187.8884,-13237.301,-13248.061,0.244378201556717,0.245802259661043,0.252418768577593,0.25360438604646,0.253862861690731
"GP","F",16,"U","LE3","T",2,2,"other","other","home","mother",2,2,1,"no","yes","no","yes","no","yes","yes","yes",3,3,3,1,2,3,25,7,10,11,-9550.4789,-9498.17499999998,-9729.40780000001,-9670.6776,-9537.63909999999,0.248478090125093,0.246781459276948,0.254317256369484,0.252394642355074,0.248061165948294
"GP","M",17,"U","GT3","T",1,2,"at_home","services","other","other",2,2,0,"no","no","yes","yes","no","yes","yes","no",4,4,4,4,5,5,12,7,8,8,-10908.438,-10953.6982,-10268.9302,-10320.1882,-10460.4991,0.259704211874873,0.261063056175232,0.240812623488686,0.242305913831696,0.246412012991484
"GP","F",16,"U","LE3","T",4,3,"teacher","services","course","mother",3,2,0,"no","yes","no","yes","yes","yes","yes","no",5,4,3,1,2,1,2,16,15,15,-10966.5078,-10940.2698,-10478.4763,-10474.7588,-10564.2629,0.258292142244934,0.257515024630752,0.243993044041446,0.243885370091055,0.246482962428054
"GP","M",16,"U","LE3","T",2,1,"at_home","other","course","mother",1,1,1,"no","no","no","yes","yes","yes","no","yes",4,4,4,3,5,5,6,12,13,14,-11922.2454,-11740.1193,-12912.3198,-12721.0887,-12672.3619,0.238226265363007,0.233736473818661,0.263216903460577,0.25831170861853,0.257067920379023
"GP","F",16,"U","GT3","T",2,1,"other","other","course","mother",1,2,0,"no","yes","yes","no","yes","yes","no","yes",4,3,5,1,1,5,2,8,9,10,-9580.09719999999,-9582.5989,-9448.1968,-9449.892,-9443.95849999999,0.252608742860203,0.252691376670431,0.24826731913715,0.2483229247349,0.248128316975407
"GP","M",18,"R","LE3","T",3,2,"services","other","reputation","mother",2,3,0,"no","yes","yes","yes","yes","yes","yes","no",5,4,2,1,1,4,8,14,13,14,-10109.7883,-10080.1473,-9961.05350000001,-9961.79720000003,-9925.19270000002,0.253199259038801,0.25226962703284,0.248548344857442,0.248571514365174,0.247432143600556
"GP","F",15,"U","GT3","T",2,2,"other","other","course","mother",1,4,0,"yes","yes","yes","no","yes","yes","yes","no",5,1,2,1,1,3,8,7,8,8,-10801.0978,-10835.9176,-10926.2229,-10913.5644,-10996.3354,0.24732294909519,0.248318235575981,0.250906932209058,0.250543416130814,0.252924196746418
"GP","M",18,"U","GT3","T",4,2,"teacher","other","home","mother",1,2,0,"no","yes","yes","yes","yes","yes","yes","yes",4,3,2,1,4,5,11,12,11,11,-9423.6756,-9424.43069999998,-9474.28080000001,-9474.278,-9507.62580000003,0.248773034053647,0.248797927189815,0.2504435175924,0.250443425040439,0.251546684736481
"GP","M",15,"R","GT3","T",3,2,"other","other","course","mother",2,2,2,"yes","yes","no","no","yes","yes","yes","yes",4,4,4,1,4,3,6,5,9,7,-9416.4497,-9439.06450000002,-9465.85790000003,-9520.3399,-9513.27250000002,0.248202777193177,0.248947262785658,0.249830459274826,0.251630218828591,0.251396461661143
"GP","M",16,"U","GT3","T",4,4,"health","other","course","mother",1,1,0,"no","yes","no","yes","yes","yes","yes","no",3,4,4,1,4,5,18,14,11,13,-9558.77310000001,-9535.1187,-9583.15589999998,-9571.97109999998,-9500.7024,0.250288970961682,0.249515056449953,0.251087721011143,0.250721194280121,0.248390748261495
"GP","M",16,"R","GT3","T",3,3,"services","services","reputation","mother",1,1,0,"no","yes","no","yes","yes","yes","yes","no",4,3,2,3,4,5,8,8,9,10,-9641.05929999998,-9650.6403,-9576.99060000003,-9595.97999999999,-9613.2639,0.250828386807347,0.25114025333733,0.24874690668295,0.249363116412012,0.249924511246687
"GP","M",17,"U","LE3","A",3,2,"teacher","services","home","mother",1,1,1,"no","no","no","no","yes","yes","yes","no",4,4,4,3,4,3,19,11,9,10,-9407.22979999999,-9394.82639999998,-9419.23330000002,-9401.3007,-9395.5227,0.250119886177307,0.249707754797019,0.25051898886902,0.249922844339266,0.249730883760364
"GP","F",18,"U","LE3","T",2,1,"services","at_home","reputation","mother",1,2,1,"no","no","no","no","yes","yes","yes","yes",5,4,3,1,1,5,12,12,12,13,-10798.3291,-10649.2396,-11016.8363,-10885.1427,-10750.9602,0.24937149582875,0.245084666492922,0.255707925784115,0.251881307715989,0.248006283119766
"GP","F",16,"U","GT3","T",3,2,"other","other","reputation","mother",1,2,0,"no","yes","yes","no","yes","yes","yes","no",1,2,2,1,2,1,14,12,13,12,-9398.47939999998,-9388.16100000001,-9391.69319999998,-9388.55370000001,-9377.74270000001,0.250318055241593,0.249974538341185,0.25009210997314,0.249987608529809,0.249627887056802
"MS","M",19,"R","GT3","T",1,1,"other","services","other","mother",2,1,1,"no","no","no","no","yes","yes","no","no",4,3,2,1,3,5,0,6,5,0,-19089.8911,-19463.7633,-17160.309,-17502.4283,-17271.0488,0.267374598434047,0.274046121903697,0.234024005152854,0.239808527428046,0.235890466587963
"GP","M",15,"U","LE3","T",4,3,"teacher","services","home","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",5,4,3,1,1,4,2,15,16,18,-14587.1691,-14554.9249,-13379.7314,-13416.3737,-13568.1339,0.265611638344699,0.264869007060075,0.238384848157278,0.239193856929755,0.242555786891609
"GP","F",17,"U","GT3","A",2,2,"at_home","at_home","home","father",1,2,1,"no","yes","no","no","yes","yes","yes","yes",3,3,1,1,2,4,0,9,8,0,-19089.8911,-19463.7633,-19395.4337,-19743.0631,-19369.1105,0.24483205762706,0.250829778038309,0.249729310810927,0.255348203365927,0.249305884839497
"GP","F",16,"U","GT3","T",2,2,"at_home","other","home","mother",1,2,1,"yes","no","no","yes","yes","yes","yes","no",3,1,2,1,1,5,6,10,13,13,-10952.3217,-10806.7887,-11016.8363,-10885.1427,-10887.0497,0.251224139222126,0.247061158404473,0.253078488154046,0.249299031158568,0.24935359721006
"GP","M",17,"U","LE3","T",4,3,"health","other","course","mother",2,2,0,"no","no","no","yes","yes","yes","yes","yes",2,5,5,1,4,5,14,12,12,12,-9398.47939999998,-9388.16100000001,-9373.9982,-9372.9597,-9380.5629,0.250521353979497,0.250177502264151,0.24970584704174,0.24967127650403,0.249924423046857
"GP","M",18,"U","GT3","T",4,4,"teacher","services","home","father",1,2,1,"no","yes","no","yes","yes","yes","yes","no",4,3,3,2,2,2,0,10,10,0,-19089.8911,-19463.7633,-21186.3348,-21448.5344999999,-20988.1167,0.229758550681439,0.235317207941737,0.261590997132872,0.265688563615859,0.258510879906541
"GP","F",18,"U","GT3","T",3,3,"services","services","home","mother",1,2,0,"no","no","no","yes","yes","yes","yes","no",5,3,4,1,1,4,0,7,0,0,-24073.9933,-24190.2772,-24946.2613000001,-25026.184,-24580.1252,0.2438049323141,0.245271418449235,0.254890298764625,0.255915900023046,0.250213222213603
"GP","F",16,"U","GT3","T",2,2,"other","other","reputation","mother",1,4,0,"no","no","yes","no","yes","yes","yes","yes",5,2,3,1,3,3,0,11,11,11,-9390.16140000001,-9384.2477,-9451.18239999999,-9446.89529999999,-9432.5382,0.248977737254763,0.24878192793763,0.251001803465339,0.250859386147369,0.250382679807588
"GP","M",18,"R","LE3","A",3,4,"other","other","reputation","mother",2,2,0,"no","yes","yes","yes","yes","yes","yes","no",4,2,5,3,4,1,13,17,17,17,-12707.4968,-12644.5222,-12865.0613,-12830.3351,-12581.4771,0.249551227442102,0.248007813484753,0.25342967612736,0.252572824046378,0.24646648613673
"GP","M",15,"R","GT3","T",2,3,"at_home","services","course","mother",1,2,0,"yes","no","yes","yes","yes","yes","no","no",4,4,4,1,1,1,2,11,8,8,-10652.3439,-10672.8992,-10219.1956,-10228.2562,-10201.1572,0.257791749721275,0.258417747063652,0.244743855095539,0.245014018353011,0.244206346380587
"MS","F",18,"U","LE3","T",3,1,"teacher","services","course","mother",1,2,0,"no","yes","yes","no","yes","yes","yes","no",4,3,4,1,1,1,0,7,9,8,-10606.026,-10622.1993,-10828.9987,-10852.405,-10720.4429,0.246513915140649,0.246982672191044,0.253007644210192,0.253693241975289,0.249837697268369
"GP","M",16,"R","GT3","T",4,3,"services","other","reputation","mother",2,1,0,"yes","yes","no","yes","no","yes","yes","no",3,3,3,1,1,4,2,11,15,15,-10966.5078,-10940.2698,-10661.2369,-10633.3729,-10737.9587,0.255196264287714,0.254430344588589,0.246342483465058,0.245540559748927,0.248555876240215
"GP","M",18,"U","LE3","T",2,1,"at_home","other","course","mother",4,2,0,"yes","yes","yes","yes","yes","yes","yes","yes",4,3,2,4,5,3,14,10,8,9,-10224.43,-10258.5215,-9906.78370000001,-9933.86289999999,-10072.6333,0.254517588051205,0.255583129320489,0.244675693612882,0.245508685434467,0.24979500279267
"GP","F",17,"U","GT3","T",3,2,"other","other","course","mother",1,2,0,"no","no","no","yes","no","yes","yes","no",5,3,4,1,3,3,10,16,15,15,-10758.3942,-10718.0419,-10773.0501,-10750.7408,-10659.3406,0.250771560481374,0.249596206126416,0.251198995115423,0.250548467570779,0.247890333230101
"GP","M",16,"U","GT3","T",3,3,"services","other","home","mother",1,2,0,"no","no","yes","yes","yes","yes","yes","yes",4,2,3,1,2,3,2,12,13,12,-9437.46160000002,-9425.6522,-9391.69319999998,-9388.55370000001,-9402.56179999998,0.250939851675771,0.250547168450302,0.249419344774638,0.249315180512559,0.24978008406141
"GP","M",18,"U","LE3","T",3,3,"services","health","home","father",1,2,1,"no","yes","yes","no","yes","yes","yes","no",3,2,4,2,4,4,13,6,6,8,-9666.58039999999,-9734.98019999998,-9688.22870000001,-9742.7212,-9827.61009999999,0.247902097383812,0.250094928366655,0.248595288236444,0.250343582824293,0.253076867126579
"GP","F",15,"U","LE3","A",3,4,"other","other","home","mother",1,2,0,"yes","no","no","yes","yes","yes","yes","yes",5,3,2,1,1,1,0,7,10,11,-9390.16140000001,-9384.2477,-9399.68339999999,-9403.07890000004,-9387.62719999999,0.249906907950132,0.249710221783896,0.250223734173454,0.250336751754208,0.249822614375918
"GP","M",15,"U","GT3","T",4,4,"health","services","home","mother",1,2,0,"no","yes","yes","no","no","yes","yes","no",5,4,2,3,4,5,0,9,11,12,-9449.67070000001,-9438.27110000002,-9373.9982,-9372.9597,-9382.68069999999,0.251535706283919,0.251156055707496,0.249019823623481,0.248985366984983,0.249307976766044
"GP","M",17,"U","LE3","T",2,2,"other","other","home","father",1,2,0,"no","no","yes","yes","no","yes","yes","yes",4,4,2,5,5,4,4,14,13,13,-9689.5262,-9670.55990000002,-9775.53599999999,-9754.3638,-9771.85350000001,0.248625893728063,0.248018531938661,0.251387638970074,0.250706673963705,0.251269144841732
"GP","M",15,"U","GT3","T",4,4,"services","teacher","course","father",1,2,0,"no","yes","no","yes","yes","yes","yes","no",4,3,3,1,1,5,2,19,18,18,-14587.1691,-14554.9249,-13690.9536,-13685.2014,-13858.4492,0.261467865660835,0.260739206935942,0.241523749870616,0.241397778722964,0.245203088298082
"GP","M",17,"U","GT3","T",4,3,"other","other","course","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","yes",5,2,3,1,1,2,4,10,10,11,-9396.63100000001,-9392.4881,-9474.28080000001,-9474.278,-9461.06789999998,0.248574214689174,0.248437392945137,0.251144205756132,0.251144112893224,0.250706149039445
