"school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3","M1","M2","M3","M4","M5","M1_ratio","M2_ratio","M3_ratio","M4_ratio","M5_ratio"
"GP","M",19,"U","GT3","T",3,3,"other","other","home","other",1,2,1,"no","yes","no","yes","yes","yes","yes","yes",4,4,4,1,1,3,20,15,14,13,-10615.8631,-10464.6463,-10688.6744,-10587.7135,-10333.2056,0.252312653786795,0.247827901522325,0.254483592147349,0.25147535925835,0.243955678028381
"GP","M",15,"U","GT3","T",2,3,"other","services","course","father",1,1,0,"yes","yes","yes","yes","no","yes","yes","yes",3,2,2,1,3,3,2,10,12,12,-9437.46160000002,-9425.6522,-9520.80139999998,-9501.37159999999,-9530.804,0.248494003043165,0.248105906310858,0.251239706853907,0.250598495794741,0.251570063341846
"GP","M",16,"U","GT3","T",1,2,"services","services","other","mother",1,1,0,"no","yes","yes","yes","yes","yes","yes","yes",3,3,3,1,2,3,2,11,12,11,-9392.57889999999,-9387.459,-9424.5582,-9415.82780000002,-9427.95280000002,0.249432476504322,0.249262619535158,0.250494462703194,0.250204359662707,0.250607298446736
"GP","M",15,"U","GT3","T",2,2,"other","other","home","mother",1,1,0,"no","yes","yes","no","yes","yes","yes","no",4,2,2,1,2,5,2,12,12,11,-9392.57889999999,-9387.459,-9382.73689999998,-9382.81440000002,-9386.94739999998,0.25020217057943,0.250031684579605,0.249874486014901,0.249877065668412,0.250014651521303
"GP","M",16,"U","GT3","T",4,4,"teacher","teacher","home","mother",1,2,0,"no","yes","yes","yes","yes","yes","yes","yes",4,4,5,5,5,5,16,10,12,11,-9455.24770000003,-9460.89359999999,-9474.28080000001,-9474.278,-9551.791,0.249076343479308,0.249262143745728,0.249702922552195,0.249702830328577,0.25226110268334
"GP","F",17,"R","GT3","T",2,1,"at_home","services","course","mother",3,2,0,"no","no","no","yes","yes","yes","no","no",2,1,1,1,1,3,2,13,11,11,-9392.57889999999,-9387.459,-9414.03010000001,-9412.14859999998,-9416.684,0.249601344758102,0.249431349837011,0.250314087470402,0.250251539772456,0.250402323109526
"GP","F",18,"U","GT3","T",4,4,"teacher","other","course","mother",1,2,0,"no","yes","yes","no","yes","yes","yes","no",4,4,4,3,3,5,2,11,11,11,-9392.57889999999,-9387.459,-9474.28080000001,-9474.278,-9451.03499999999,0.248566061759651,0.248396912093916,0.251271519130724,0.251271426211286,0.25050057056588
"MS","F",19,"U","LE3","T",3,2,"services","services","home","other",2,2,2,"no","no","no","yes","yes","yes","no","yes",3,2,2,1,1,3,4,7,7,9,-9805.96839999996,-9683.44610000001,-9785.798,-9707.73090000002,-9724.46279999999,0.252072132922551,0.248141041431621,0.251423269812371,0.248918249327066,0.249454298517643
"GP","F",16,"U","GT3","T",3,3,"other","services","home","mother",1,2,0,"yes","yes","yes","yes","yes","yes","yes","no",4,3,3,2,4,5,54,11,12,11,-10028.7694,-10109.7289,-9399.68339999999,-9403.07890000004,-10006.3404,0.25768423633766,0.260305942456615,0.237678339857773,0.2377846134092,0.256959847879192
"GP","F",16,"U","GT3","T",1,1,"at_home","other","home","mother",2,1,0,"no","yes","yes","no","yes","yes","no","no",4,3,2,1,4,5,6,9,9,10,-9619.10439999998,-9626.1373,-9418.18649999999,-9420.99700000002,-9421.6128,0.253889757919072,0.254122558985483,0.247275341850143,0.247367385005573,0.247387554112278
"GP","F",16,"U","GT3","T",4,3,"health","other","home","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",4,3,5,1,5,2,2,16,16,16,-11940.9955,-11911.8156,-11315.0773,-11310.6124,-11428.1065,0.259781063112054,0.258981835980356,0.242856959194085,0.242737866725966,0.245879413132878
"GP","M",17,"U","GT3","T",2,1,"other","other","home","mother",1,1,3,"no","yes","no","no","yes","yes","yes","no",5,4,5,1,2,5,0,5,0,0,-12283.272,-12806.4168,-12666.2856,-13191.4365,-12911.1635,0.238161899754561,0.250849668300797,0.247425655248296,0.260354877870455,0.253421386326032
"GP","F",16,"U","GT3","T",1,1,"services","services","course","father",4,1,0,"yes","yes","no","yes","no","yes","yes","yes",5,5,5,5,5,5,6,10,8,11,-9402.31589999999,-9399.3367,-9424.5582,-9415.82780000002,-9416.287,0.249689650467664,0.24959078760609,0.250428241739093,0.250138230731331,0.250153481326062
"GP","M",15,"U","LE3","T",4,4,"health","services","course","father",1,1,0,"no","yes","yes","yes","yes","yes","yes","no",4,3,3,1,3,5,2,14,14,14,-10224.4271,-10202.061,-10005.0887,-9985.52179999997,-10059.3268,0.254010422632857,0.253314016297673,0.247214189493276,0.246611483375243,0.248887900132445
"GP","F",16,"U","GT3","T",2,3,"services","teacher","other","mother",1,2,0,"yes","no","no","no","yes","yes","yes","no",2,3,1,1,1,3,2,16,16,17,-13147.8825,-13116.7028,-13391.8468,-13323.5595,-13455.8447,0.246732733430647,0.246003675209762,0.252466809646736,0.250856493126275,0.253979743930349
"GP","M",19,"U","GT3","T",4,4,"teacher","services","reputation","other",2,1,1,"no","yes","yes","no","yes","yes","yes","yes",4,3,4,1,1,4,38,8,9,8,-10107.9149,-10255.5405,-9773.94999999996,-9836.90019999999,-10403.6728,0.251003202416107,0.255606115599471,0.240713800702591,0.242640320306035,0.260258999971223
"GP","F",17,"U","GT3","T",3,3,"other","other","home","mother",1,3,0,"no","no","no","yes","no","yes","no","no",3,2,3,1,1,4,4,10,9,9,-10033.3382,-10047.7723,-10015.4475,-9990.03209999998,-9999.80600000002,0.250501178338247,0.250951989513684,0.249942860099898,0.249150573852531,0.249455141359106
"GP","F",16,"U","LE3","T",1,2,"other","services","reputation","father",1,2,0,"yes","no","no","yes","yes","yes","yes","no",4,4,3,1,1,1,4,8,10,9,-10033.3382,-10047.7723,-9742.85839999998,-9776.37679999998,-9764.55079999998,0.255096381472382,0.255557152371789,0.245894932900991,0.246949794386982,0.246577413085563
"MS","F",19,"R","GT3","T",2,3,"services","other","course","mother",1,3,1,"no","no","no","yes","no","yes","yes","no",5,4,2,1,2,5,0,7,5,0,-19089.8911,-19463.7633,-19911.2860000001,-20194.2004,-19837.2223,0.240407244134961,0.246275123800242,0.2533723543296,0.257900927684082,0.252192206757489
"GP","F",16,"R","GT3","T",4,4,"health","teacher","other","mother",1,2,0,"no","yes","no","yes","yes","yes","no","no",2,4,4,2,3,4,6,10,11,11,-9402.31589999999,-9399.3367,-9434.33750000002,-9430.15550000001,-9436.23160000003,0.249397894215094,0.249299169917078,0.250460007346759,0.250321193559975,0.250522888649377
"GP","M",16,"U","GT3","T",4,4,"teacher","teacher","course","father",1,2,0,"no","yes","no","yes","yes","yes","yes","no",5,4,4,1,2,5,2,15,15,16,-11940.9955,-11911.8156,-11315.0773,-11310.6124,-11428.1065,0.259781063112054,0.258981835980356,0.242856959194085,0.242737866725966,0.245879413132878
"GP","F",17,"U","GT3","T",3,2,"health","health","reputation","father",1,4,0,"no","yes","yes","yes","no","yes","yes","no",5,2,2,1,2,5,0,17,17,18,-14687.181,-14662.5164,-13630.4558,-13678.7412,-13883.442,0.262951215421737,0.262393765763741,0.239501061224816,0.240553576535027,0.24503552614327
"GP","F",18,"U","GT3","T",2,2,"at_home","at_home","other","mother",1,3,0,"no","yes","yes","no","yes","yes","yes","no",4,3,3,1,2,2,5,18,18,19,-16089.9547,-16044.7630000001,-16198.0089,-16164.9825,-16162.6413,0.249184700288277,0.248311029050555,0.251278630640495,0.250637883406817,0.250592486547712
"GP","M",17,"R","LE3","T",2,1,"at_home","other","course","mother",2,1,2,"no","no","no","yes","yes","no","yes","yes",3,3,2,2,2,5,0,7,6,0,-15159.6516999999,-13275.8445,-15360.2952,-13859.3506,-13481.0297,0.270821617706852,0.229446412463426,0.275393165717441,0.241971365271876,0.233821810724185
"GP","M",15,"U","GT3","T",4,2,"health","services","other","mother",1,1,0,"no","no","yes","no","yes","yes","yes","no",2,2,4,2,4,1,4,15,16,15,-10912.03,-10881.9813,-10661.2369,-10633.3729,-10692.1143,0.254545358862178,0.253666604737129,0.247248629294702,0.246443172511414,0.248142410386858
"GP","F",17,"U","GT3","T",1,1,"at_home","other","course","father",1,2,0,"no","yes","no","no","no","yes","yes","no",5,3,3,1,1,3,4,5,5,6,-12731.4105,-12780.7285,-12023.7497,-12110.6906,-12078.5154,0.259858198212414,0.261127673975274,0.241920006390169,0.244096262359422,0.24328998231707
"GP","M",16,"R","GT3","T",2,2,"at_home","other","course","mother",3,1,0,"no","no","no","no","no","yes","no","no",4,2,2,1,2,3,2,17,15,15,-10966.5078,-10940.2698,-11868.2534,-11820.0624,-11878.8086,0.235801381450006,0.235104574536093,0.260236478689177,0.258906205996307,0.260528221661675
"MS","F",18,"R","LE3","A",1,4,"at_home","other","course","mother",3,2,0,"no","no","no","no","yes","yes","no","yes",4,3,4,1,4,5,0,13,13,13,-9741.5904,-9725.63660000002,-10294.2404,-10269.6187,-10327.102,0.23984260011025,0.239355793347115,0.256945233582161,0.25617323974649,0.25797706248095
"GP","M",16,"U","LE3","T",4,3,"teacher","other","course","mother",1,1,0,"no","no","no","yes","no","yes","yes","no",5,4,5,1,1,3,0,6,0,0,-24073.9933,-24190.2772,-25412.3153,-25516.443,-24999.7428,0.240454325439966,0.241896738127765,0.25726055792678,0.258587275813989,0.252031247582995
"MS","M",18,"R","LE3","T",1,1,"at_home","other","other","mother",2,2,1,"no","no","no","yes","no","no","no","no",4,4,3,2,3,5,2,13,12,12,-10296.3674,-11625.8588,-10955.757,-12240.524,-12364.6797,0.218204310209973,0.253522376503223,0.235468776666729,0.270552686676629,0.274048953906879
"GP","M",18,"R","GT3","T",4,3,"teacher","services","course","mother",1,3,0,"no","no","no","no","yes","yes","yes","yes",5,3,2,1,2,4,9,16,15,16,-11706.248,-11660.3702,-11111.3883,-11134.3638,-11055.7273,0.260359573819668,0.259074849444631,0.243902346563912,0.244529997230317,0.242384406407399
"GP","F",16,"U","GT3","T",4,4,"teacher","services","home","mother",1,3,0,"no","yes","no","yes","no","yes","yes","no",5,3,2,1,1,5,0,13,13,14,-10265.9033,-10246.3321,-9779.93740000002,-9789.52210000002,-9868.57090000003,0.258688880286283,0.258068436679865,0.243461723852873,0.243758486474443,0.246211417072586
"GP","F",15,"U","GT3","T",2,1,"services","other","reputation","father",3,3,0,"no","yes","no","yes","yes","yes","yes","no",5,2,2,1,1,4,4,10,12,12,-9426.88069999999,-9414.85530000001,-9426.06689999999,-9422.87530000001,-9426.89250000002,0.250111650914324,0.249712923860121,0.250084659662743,0.249978815321585,0.250112042292728
"GP","F",18,"U","GT3","T",2,3,"other","services","reputation","father",1,4,0,"no","yes","yes","yes","yes","yes","yes","yes",4,5,5,1,3,2,4,15,14,14,-10184.5786,-10159.5996,-10084.1466,-10088.8734,-10097.9904,0.251902669784106,0.251129691870263,0.248800576111515,0.248946230374283,0.249227262708407
"MS","F",17,"U","LE3","T",4,4,"at_home","at_home","course","mother",1,2,0,"no","yes","yes","yes","yes","yes","yes","yes",2,3,4,1,1,1,0,16,15,15,-11022.6173,-11000.3713,-10478.4763,-10474.7588,-10608.6521,0.258976325234245,0.258318640293208,0.243084006587003,0.242976812148294,0.246849331715481
"GP","F",16,"U","LE3","T",2,2,"services","services","course","mother",3,2,0,"no","yes","yes","no","yes","yes","yes","no",4,3,3,2,3,4,2,12,13,13,-9714.73720000002,-9697.18580000001,-9775.53599999999,-9754.3638,-9797.42590000001,0.24893936724871,0.248377905256641,0.250888206554299,0.250208864923441,0.251591353345689
"GP","F",18,"R","GT3","A",3,2,"other","services","home","mother",2,2,0,"no","no","no","no","no","no","yes","yes",4,1,1,1,1,5,75,10,9,9,-12274.3088,-11118.6098,-10118.3371,-9689.34240000001,-11040.0387,0.292479932959586,0.257840611249559,0.229324789704921,0.217487337472287,0.255552913282467
"GP","F",18,"U","GT3","T",1,1,"other","other","home","mother",2,2,0,"yes","no","no","yes","yes","yes","yes","no",5,4,4,1,1,4,4,8,9,10,-9598.78170000001,-9603.4599,-9451.0041,-9466.85509999999,-9461.65889999997,0.252712720419131,0.252867030661546,0.247857771273749,0.248376722947379,0.248206555109633
"MS","M",18,"U","GT3","T",4,4,"teacher","teacher","home","father",1,2,0,"no","no","yes","yes","no","yes","yes","no",3,2,4,1,4,2,4,15,14,14,-10184.5786,-10159.5996,-9876.0973,-9873.20299999998,-9904.93879999996,0.255804989735893,0.255017598074955,0.246149706696921,0.246059819797648,0.247046132452687
"GP","F",16,"U","LE3","A",3,3,"other","services","home","mother",1,2,0,"no","yes","no","no","yes","yes","yes","no",2,3,5,1,4,3,12,11,12,11,-9429.17659999998,-9430.81239999999,-9399.68339999999,-9403.07890000004,-9433.5417,0.250329133238348,0.250383434640151,0.249350896532615,0.249463441219253,0.250474045957444
"GP","F",16,"U","GT3","A",2,1,"other","other","other","mother",1,2,0,"no","no","yes","yes","yes","yes","yes","yes",5,3,4,1,1,2,8,8,9,10,-9641.05929999998,-9650.6403,-9522.6414,-9537.54579999999,-9559.69790000001,0.251918655394263,0.252232150861389,0.248056877356142,0.248541620152472,0.249262779426018
"GP","F",16,"U","LE3","T",1,1,"at_home","at_home","course","mother",1,1,0,"no","no","no","no","yes","yes","yes","no",3,4,4,3,3,1,2,14,14,13,-9714.73720000002,-9697.18580000001,-10119.4991,-10060.8316,-10117.7453,0.242897202388109,0.242352012379874,0.255604226406851,0.253746352313062,0.255548607479245
"GP","M",15,"U","GT3","T",3,4,"other","other","home","mother",1,2,0,"no","yes","yes","yes","yes","yes","yes","no",5,5,1,1,1,5,0,14,15,15,-11022.6173,-11000.3713,-10773.0501,-10750.7408,-10889.559,0.253897085882609,0.253254894713154,0.246730159242885,0.246093480826977,0.250065771224252
"MS","M",21,"R","GT3","T",1,1,"other","other","course","other",1,1,3,"no","no","no","no","no","yes","no","no",5,5,3,3,3,3,3,10,8,7,-9917.40679999999,-9739.64879999999,-10287.114,-10074.7581,-10114.4212,0.246603866082252,0.241118015331306,0.258170289509587,0.251500562021767,0.25274093488517
"GP","M",17,"U","GT3","T",2,3,"other","other","course","father",2,1,0,"no","no","no","no","yes","yes","yes","no",5,2,2,1,1,2,4,12,12,13,-9689.5262,-9670.55990000002,-9893.09160000002,-9854.22259999997,-9880.39519999997,0.246563687729627,0.245962356010605,0.253054521791634,0.251809938877316,0.252647711793821
"GP","M",17,"R","GT3","T",2,2,"services","other","course","mother",4,1,0,"no","yes","no","no","yes","yes","yes","no",4,4,5,5,5,4,8,11,10,10,-9641.05929999998,-9650.6403,-9478.89139999999,-9498.54649999998,-9515.3986,0.252757748082366,0.253072498823999,0.247454166983385,0.248094579746738,0.248644187499653
"GP","F",19,"R","GT3","T",2,3,"other","other","reputation","other",1,3,1,"no","no","no","no","yes","yes","yes","yes",4,1,2,1,1,3,40,13,11,11,-9528.91079999999,-9502.12020000004,-9653.81940000001,-9612.65369999998,-9511.41629999998,0.248926551993341,0.248053091106264,0.253015170894188,0.251664744502372,0.24835603581801
"MS","F",17,"R","GT3","T",1,2,"other","other","course","mother",1,1,0,"no","no","no","yes","yes","yes","yes","no",3,5,5,1,3,1,14,6,5,5,-14579.323,-14685.7249,-12961.0699,-13103.8541,-13438.9152,0.269043001953212,0.271539686338829,0.232244702450036,0.235405485163369,0.242886716521177
"GP","F",16,"U","LE3","T",3,1,"other","other","home","father",1,2,0,"yes","yes","no","no","yes","yes","no","no",3,3,3,2,3,2,4,7,6,6,-12731.4105,-12780.7285,-12374.8804,-12364.9438,-12364.9525,0.255212620358509,0.256454781516673,0.24630531637718,0.246058877542276,0.246059093269415
"MS","M",18,"R","LE3","T",3,2,"services","other","course","mother",3,1,0,"no","no","no","no","no","yes","yes","no",4,4,1,3,4,5,0,11,12,10,-9563.04750000002,-9563.55699999999,-9576.99060000003,-9595.97999999999,-9547.1474,0.24979439669781,0.249811029863766,0.250249743714563,0.250870424279999,0.249275543529463
"GP","M",15,"U","LE3","T",2,2,"services","services","home","mother",2,2,0,"no","no","yes","yes","yes","yes","yes","no",5,3,3,1,3,4,4,15,15,15,-10912.03,-10881.9813,-11115.2494,-11070.3783,-11106.1492,0.247025167082115,0.246177468936505,0.252788564874261,0.251511421230681,0.252529339770161
"MS","F",17,"R","GT3","T",1,1,"other","services","reputation","mother",3,1,1,"no","yes","yes","no","yes","yes","yes","yes",5,2,1,1,2,1,0,7,6,0,-19089.8911,-19463.7633,-18109.5695,-18550.2267,-18201.6542,0.256842734109757,0.263196892783885,0.240481253175555,0.247782767711473,0.241999988762648
"GP","F",17,"U","GT3","T",2,3,"at_home","other","home","father",2,1,0,"no","yes","yes","no","yes","yes","no","no",3,3,3,1,4,3,3,7,7,8,-10676.1218,-10698.9323,-10091.4845,-10120.1877,-10102.8667,0.260307686416945,0.261009022965078,0.242594792501202,0.243452790025841,0.242934888096734
"GP","M",16,"U","GT3","T",4,4,"services","teacher","other","father",1,3,0,"no","yes","no","yes","yes","yes","yes","yes",4,4,3,1,1,4,0,16,17,17,-13233.2555,-13208.4652,-12128.4487000001,-12158.2193,-12352.8247,0.26547236953111,0.264843339834238,0.238033181740186,0.238756960679182,0.243509108342722
"GP","M",16,"U","GT3","T",3,4,"other","other","course","father",3,1,2,"no","yes","no","yes","no","yes","yes","no",3,4,5,2,4,2,0,6,5,0,-15159.6516999999,-15669.1396,-16040.2194,-16532.9884,-16151.2835,0.235421601300012,0.24527431791642,0.252549925823764,0.262343878426389,0.254744073203837
"GP","M",15,"U","LE3","A",2,1,"services","other","course","mother",4,1,3,"no","no","no","no","yes","yes","yes","no",4,5,5,2,5,5,0,8,9,10,-12457.404,-11983.3773,-12091.622,-11682.4267,-11917.9924,0.261296165153319,0.248878824566142,0.25169275328932,0.241121388818709,0.247185200072261
"GP","M",19,"U","GT3","T",3,2,"services","at_home","home","mother",1,1,3,"no","yes","no","no","yes","no","yes","yes",4,5,4,1,1,4,0,5,0,0,-12283.272,-11143.2153,-13175.6703,-12111.3212,-11793.4919,0.254714431516635,0.225736782173586,0.27837118753661,0.250256403729017,0.242099151826537
"GP","F",19,"U","GT3","T",1,1,"at_home","health","home","other",1,3,2,"no","no","no","no","no","yes","yes","yes",4,1,2,1,1,3,14,15,13,13,-12966.4214,-12567.8941,-13359.8841,-13032.7526,-12745.3715,0.25077255831971,0.241205866688923,0.260363455804195,0.25237917981081,0.24544809506459
"GP","F",15,"U","LE3","A",3,3,"other","other","other","mother",1,1,0,"no","no","yes","no","yes","yes","yes","no",5,3,4,4,4,1,6,10,13,13,-9665.94739999999,-9645.75229999999,-9714.30910000003,-9691.2694,-9694.86759999999,0.24946827815758,0.248817375802575,0.251029771387713,0.250285383519883,0.25040157910687
"GP","F",17,"U","GT3","T",1,1,"at_home","services","course","mother",1,2,0,"no","no","no","yes","yes","yes","yes","no",5,3,3,1,1,3,0,8,8,9,-9968.3342,-9976.20669999998,-9742.85839999998,-9776.37679999998,-9720.33310000001,0.25419194699072,0.254443774440624,0.247022044240037,0.248082703687868,0.246310263756033
"GP","M",15,"U","GT3","T",4,4,"teacher","health","reputation","mother",1,2,0,"no","yes","no","yes","yes","yes","no","no",3,2,2,1,1,5,4,14,15,15,-10912.03,-10881.9813,-10901.5612,-10927.7519,-10939.3749,0.249985399422042,0.249125513458822,0.249685685586835,0.250435775705783,0.250768941855334
"GP","M",17,"U","LE3","T",4,4,"teacher","other","reputation","mother",1,2,0,"no","yes","yes","yes","yes","yes","yes","no",4,4,4,1,3,5,0,13,11,10,-9563.04750000002,-9563.55699999999,-9808.79039999999,-9809.89210000001,-9736.44739999998,0.245718657584001,0.245734965995607,0.253634437554068,0.253670151628644,0.251293722511334
"GP","F",16,"U","LE3","T",4,4,"teacher","teacher","reputation","mother",1,2,0,"no","yes","yes","no","yes","yes","yes","no",4,5,2,1,2,3,0,9,9,10,-9563.04750000002,-9563.55699999999,-9808.79039999999,-9809.89210000001,-9736.44739999998,0.245718657584001,0.245734965995607,0.253634437554068,0.253670151628644,0.251293722511334
"GP","M",18,"U","GT3","T",2,2,"other","services","reputation","father",1,2,1,"no","no","no","no","yes","no","yes","no",5,5,4,3,5,2,0,7,7,0,-19089.8911,-16340.3598,-19395.4337,-17147.977,-16698.4325,0.274350196989308,0.225908585742289,0.279970679706726,0.239750977646112,0.232007544548768
"GP","F",15,"U","GT3","T",1,1,"other","other","home","father",1,2,0,"no","yes","no","yes","no","yes","yes","no",4,3,2,2,3,4,2,9,10,10,-9580.09719999999,-9582.5989,-9451.0041,-9466.85509999999,-9452.0717,0.252423152039788,0.252505712900908,0.248177556004316,0.248697310667172,0.24821254904337
"GP","F",18,"U","LE3","T",2,2,"other","other","home","other",1,2,0,"no","no","no","yes","no","yes","yes","yes",4,3,3,1,1,2,0,8,8,0,-24073.9933,-24190.2772,-23904.0807,-24043.8828,-23643.2844,0.251342764430465,0.252863808176967,0.249126863265332,0.250949507848711,0.245740935607004
"GP","M",16,"U","GT3","T",2,3,"other","other","home","father",2,1,0,"no","no","no","no","yes","yes","yes","no",5,3,3,1,1,3,0,13,14,14,-10265.9033,-10246.3321,-10499.6019,-10441.3698,-10564.3433,0.24588019905926,0.245296462899671,0.252893080687742,0.251138263527746,0.254849842486615
"GP","F",17,"U","LE3","T",2,2,"services","services","course","father",1,4,0,"no","no","yes","yes","yes","yes","yes","yes",3,4,1,1,1,2,0,10,9,0,-24073.9933,-24190.2772,-25165.4318999999,-25133.5676,-24779.8904,0.242512292621019,0.243969478438727,0.256325261181816,0.255917643922865,0.251411001278671
"GP","M",16,"U","LE3","T",2,2,"services","services","reputation","father",2,1,2,"no","yes","no","yes","yes","yes","yes","no",2,3,3,2,2,2,8,9,9,9,-9753.42839999997,-9636.8943,-9808.36480000001,-9697.615,-9690.0922,0.251163620225426,0.247420228784244,0.252936129692345,0.249367943011079,0.249126307057078
"GP","F",17,"U","GT3","T",4,4,"teacher","teacher","course","mother",2,3,0,"no","yes","yes","no","no","yes","yes","yes",4,3,3,1,2,4,4,14,14,14,-10184.5786,-10159.5996,-9779.93740000002,-9789.52210000002,-9813.55420000002,0.257559573079607,0.256765676389159,0.244821265501488,0.245120011984275,0.245869701823746
"GP","M",16,"U","LE3","T",1,1,"services","other","course","mother",1,2,1,"no","no","no","no","yes","yes","no","yes",4,4,4,1,3,5,0,14,12,12,-10339.6035,-10233.2281,-10955.757,-10835.1028,-10926.3723,0.240733241316934,0.237667909343528,0.258791459079215,0.255214056739362,0.257918324369628
"GP","M",16,"U","GT3","T",0,2,"other","other","other","mother",1,1,0,"no","no","yes","no","no","yes","yes","no",4,3,2,2,4,5,0,13,15,15,-11022.6173,-11000.3713,-12209.9465,-12066.8508,-12227.9436,0.232030128748965,0.231453455790859,0.263612498465222,0.25972067549381,0.264103674829304
"GP","F",16,"U","GT3","T",3,3,"other","other","reputation","mother",3,2,0,"yes","yes","no","yes","yes","yes","no","no",5,3,2,1,1,4,4,8,10,10,-9598.78170000001,-9603.4599,-9526.82770000001,-9523.862,-9524.9925,0.251414284659896,0.251567642839904,0.249060253726952,0.248963418572195,0.249000329551215
"GP","M",17,"U","GT3","T",4,4,"teacher","teacher","reputation","mother",1,2,0,"yes","yes","no","yes","yes","yes","yes","yes",4,5,5,1,3,2,14,11,9,9,-10224.43,-10258.5215,-10377.5188,-10379.7978,-10540.6215,0.246037080598657,0.247060126129944,0.250644297782634,0.250713141821058,0.25559051833613
"GP","F",15,"U","GT3","T",2,3,"other","other","other","father",2,1,0,"no","yes","no","yes","yes","yes","no","no",3,5,1,1,1,5,0,8,7,6,-12578.6067,-12614.1927,-11691.8363,-11743.1529,-11626.4909,0.26383700451942,0.264781060390512,0.24075881544609,0.24207132926078,0.239091499628671
"GP","F",15,"U","GT3","T",1,2,"at_home","other","course","mother",1,2,0,"no","yes","yes","no","no","yes","yes","no",4,3,2,1,1,5,2,10,11,11,-9392.57889999999,-9387.459,-9393.37560000002,-9391.63479999999,-9396.6362,0.250008051828628,0.249837724532739,0.250034560379161,0.249976640302395,0.250143061841877
"GP","M",16,"U","GT3","T",3,1,"other","other","reputation","father",2,4,0,"no","yes","yes","no","yes","yes","yes","no",4,3,2,1,1,5,0,13,15,15,-11022.6173,-11000.3713,-10463.7024,-10485.6357,-10591.7627,0.259102864942937,0.258444792678955,0.242775137958737,0.243407894188181,0.24647868787612
"GP","M",17,"U","LE3","T",1,1,"health","other","course","mother",2,1,1,"no","yes","no","yes","yes","yes","yes","no",4,4,4,1,2,5,2,7,9,8,-9553.2444,-9596.0153,-9437.54460000002,-9477.99690000002,-9460.47840000001,0.251586314762502,0.252997664919116,0.247784348426075,0.249111006815738,0.248536130539413
"GP","M",16,"U","LE3","T",1,1,"other","other","home","mother",2,2,0,"no","yes","yes","no","yes","yes","yes","no",3,4,2,1,1,5,18,9,7,6,-13317.6681,-13420.9336,-12023.7497,-12110.6906,-12557.147,0.265755301485941,0.268368994752119,0.23389578939384,0.235986145180249,0.246833027991525
